                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3344,                 3.2412,                 1.1854,                0.00241,                  0.681,                0.17088,                0.11632,                 1.1366,                 3.9526,                 1.0557,             0.00054574,             0.00054574,             0.00054574
                      2,                 1.2703,                 2.3265,                 1.1702,                0.36215,                0.51394,                0.36017,                0.23069,                 1.2036,                 2.6498,                 1.1541,              0.0010905,              0.0010905,              0.0010905
                      3,                 1.2329,                 2.0192,                  1.166,                0.32449,                0.55287,                0.35108,                0.20835,                 1.3645,                 2.5729,                 1.2522,              0.0016243,              0.0016243,              0.0016243
                      4,                 1.2317,                 1.8368,                 1.1594,                0.45937,                0.70074,                0.44575,                0.28642,                 1.2418,                 2.2329,                 1.1812,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2146,                 1.6196,                 1.1396,                0.43989,                 0.8084,                0.45752,                0.30234,                 1.1647,                 1.5837,                 1.1263,               0.001601,               0.001601,               0.001601
                      6,                 1.1607,                 1.4712,                 1.1196,                  0.455,                0.80165,                0.47267,                0.33495,                 1.0728,                 1.4802,                 1.0581,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1615,                  1.431,                 1.1179,                0.48362,                0.77427,                0.50167,                0.32365,                 1.1787,                 1.4721,                  1.117,               0.001568,               0.001568,               0.001568
                      8,                 1.1299,                 1.3458,                 1.0924,                0.43405,                0.80988,                0.48965,                0.34102,                  1.079,                  1.425,                   1.07,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1206,                 1.3218,                 1.0969,                0.46122,                0.81725,                0.47581,                0.34963,                0.99064,                 1.3175,                 1.0195,               0.001535,               0.001535,               0.001535
                     10,                 1.0916,                 1.2831,                 1.0922,                0.46685,                0.67357,                0.44691,                0.31473,                 1.1069,                 1.4931,                 1.1341,              0.0015185,              0.0015185,              0.0015185
                     11,                  1.056,                 1.2451,                 1.0714,                0.45775,                0.79554,                0.48648,                0.34548,                 1.0911,                 1.3041,                 1.0594,               0.001502,               0.001502,               0.001502
                     12,                 1.0906,                  1.238,                  1.087,                0.44412,                0.83938,                0.48137,                0.34923,                 1.0156,                 1.2664,                 1.0401,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.0926,                 1.2092,                 1.0923,                0.44657,                0.84912,                0.48987,                0.35293,                 1.0151,                 1.2332,                 1.0342,               0.001469,               0.001469,               0.001469
                     14,                 1.0616,                  1.217,                 1.0727,                0.46043,                0.80415,                0.49853,                0.37338,                0.96013,                 1.2065,                 1.0141,              0.0014525,              0.0014525,              0.0014525
